City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Cassilandia,BR,76.32,overcast clouds,-19.1133,-51.7342,Delirius Motel
73,Cape Town,ZA,68.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
74,Asau,RO,29.32,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
75,Tezu,IN,55.6,overcast clouds,27.9167,96.1667,Circuit House
76,Hermanus,ZA,64.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Severo-Kurilsk,RU,26.29,overcast clouds,50.6789,156.125,Kak Doma
79,Ostrovnoy,RU,9.66,scattered clouds,68.0531,39.5131,Ungoofaaru Inn
80,Itarema,BR,77.97,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
81,San Patricio,US,62.55,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
82,Kaz,RU,12.72,overcast clouds,52.9113,87.3105,Ungoofaaru Inn
83,Mahibadhoo,MV,79.63,overcast clouds,3.7833,72.9667,Omadhoo Inn
84,Vestmanna,FO,34.72,broken clouds,62.1564,-7.1664,Vestmanna Camping
85,Tiksi,RU,0.09,scattered clouds,71.6872,128.8694,Arktika
86,Jalpan,MX,64.87,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
87,Luderitz,,69.49,clear sky,-26.6481,15.1594,Lüderitz Nest Hotel
88,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
89,San Carlos De Bariloche,AR,80.35,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
90,Faro,PT,56.98,few clouds,37.0194,-7.9322,Hotel Faro & Beach Club
91,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
92,Panuco,MX,66.04,overcast clouds,22.05,-98.1667,Hotel Plaza
93,San Quintin,MX,61.02,overcast clouds,30.4833,-115.95,Don Eddie's Landing
94,Torbay,CA,36.57,light rain,47.6666,-52.7314,Gallows Cove
95,Ous,RU,-4.97,overcast clouds,60.9058,61.5186,Ungoofaaru Inn
96,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Dzhebariki-Khaya,RU,-45.65,broken clouds,62.2167,135.8,Ungoofaaru Inn
98,Sola,VU,86.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
99,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
100,Bubaque,GW,78.8,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
101,Hovd,MN,-13.7,scattered clouds,48.0056,91.6419,Hotel Khovd
102,Riyadh,SA,62.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
103,Caibarien,CU,75.29,clear sky,22.5206,-79.4669,La Nena
104,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
105,Rio Branco,BR,84.81,scattered clouds,-9.9747,-67.81,Inácio Palace Hotel
106,Husavik,IS,30.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
107,Tolaga Bay,NZ,61.97,broken clouds,-38.3667,178.3,Tolaga Bay Motel
108,Eyl,SO,69.53,clear sky,7.9803,49.8164,Amiin Hotel
109,Alta Floresta,BR,72.27,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
110,Eskisehir,TR,12.52,light snow,39.7767,30.5206,Hotel ibis Eskisehir
111,Jiuquan,CN,17.28,overcast clouds,39.7432,98.5174,Jiuquan Hotel
112,Haines Junction,CA,19.35,overcast clouds,60.7522,-137.5108,Parkside Inn
113,Puerto Escondido,MX,80.15,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
114,Hamilton,US,21.97,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
115,Tomatlan,MX,80.19,overcast clouds,19.9333,-105.25,El Salvial
116,Serowe,BW,66.36,light rain,-22.3833,26.7167,Hill View Inn
117,Gunjur,GM,75.13,broken clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
118,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
119,Flinders,AU,80.06,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
120,Saskylakh,RU,-5.24,broken clouds,71.9167,114.0833,Ungoofaaru Inn
121,Charters Towers,AU,76.87,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
122,Brae,GB,46.31,overcast clouds,60.3964,-1.353,Busta House Hotel
123,Hambantota,LK,71.73,overcast clouds,6.1241,81.1185,Bungalow 63
124,Gimli,CA,23.43,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
125,Manthani,IN,56.62,clear sky,18.65,79.6667,Arepelli kumar muncipal vice chairman
126,Waddan,LY,43.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
127,Nikolskoye,RU,25.88,light snow,59.7035,30.7861,Tourist House - Sablino
128,Chuy,UY,70.29,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
129,Lopsmarka,NO,33.69,overcast clouds,67.3134,14.4493,City Hotel Bodø
130,Muros,ES,49.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
131,Taksimo,RU,-21.08,broken clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
132,Kodiak,US,35.11,light snow,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
133,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
134,Bandundu,CD,71.22,overcast clouds,-3.3167,17.3667,Coja Color
135,Ancud,CL,74.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
136,Jieshi,CN,65.95,broken clouds,22.8134,115.8257,Yuehai Hotel
137,Lorengau,PG,83.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Vancouver,CA,43.11,broken clouds,49.2497,-123.1193,"Holiday Inn Vancouver-Centre (Broadway), an IHG Hotel"
139,Carballo,ES,46.67,clear sky,43.213,-8.691,Pazo do Souto
140,Kaitangata,NZ,56.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
141,Amapa,BR,71.2,overcast clouds,1.0,-52.0,Ungoofaaru Inn
142,Deputatskiy,RU,-13.36,overcast clouds,69.3,139.9,Baza Otdykha
143,Sitka,US,37.29,scattered clouds,57.0531,-135.33,Westmark Sitka
144,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
145,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
