City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Severo-Kurilsk,RU,50.6789,156.125,26.29,74,91,24.99,overcast clouds
79,Ostrovnoy,RU,68.0531,39.5131,9.66,93,27,17.74,scattered clouds
80,Itarema,BR,-2.9248,-39.9167,77.97,86,100,8.72,light rain
81,San Patricio,US,28.017,-97.5169,62.55,70,66,8.28,broken clouds
82,Kaz,RU,52.9113,87.3105,12.72,97,100,3.04,overcast clouds
83,Mahibadhoo,MV,3.7833,72.9667,79.63,66,89,13.87,overcast clouds
84,Vestmanna,FO,62.1564,-7.1664,34.72,87,75,27.63,broken clouds
85,Tiksi,RU,71.6872,128.8694,0.09,88,37,17.81,scattered clouds
86,Jalpan,MX,21.2333,-99.4833,64.87,75,86,4.9,overcast clouds
87,Luderitz,NA,-26.6481,15.1594,69.49,67,9,19.28,clear sky
88,Cayenne,GF,4.9333,-52.3333,75.24,94,100,3.44,overcast clouds
89,San Carlos De Bariloche,AR,-41.1456,-71.3082,80.35,28,40,12.66,scattered clouds
90,Faro,PT,37.0194,-7.9322,56.98,62,20,10.36,few clouds
91,Port Hedland,AU,-20.3167,118.5667,86.05,74,40,11.5,scattered clouds
92,Panuco,MX,22.05,-98.1667,66.04,66,100,4.74,overcast clouds
93,San Quintin,MX,30.4833,-115.95,61.02,62,100,10.25,overcast clouds
94,Torbay,CA,47.6666,-52.7314,36.57,97,75,5.75,light rain
95,Ous,RU,60.9058,61.5186,-4.97,100,97,2.75,overcast clouds
96,Hilo,US,19.7297,-155.09,80.33,65,40,9.22,scattered clouds
97,Dzhebariki-Khaya,RU,62.2167,135.8,-45.65,100,71,0.34,broken clouds
98,Sola,VU,-13.8833,167.55,86.67,79,40,6.91,scattered clouds
99,Esperance,AU,-33.8667,121.9,64.24,82,90,6.4,overcast clouds
100,Bubaque,GW,11.2833,-15.8333,78.8,64,71,10.45,broken clouds
101,Hovd,MN,48.0056,91.6419,-13.7,79,45,2.82,scattered clouds
102,Riyadh,SA,24.6877,46.7219,62.74,31,0,13.89,clear sky
103,Caibarien,CU,22.5206,-79.4669,75.29,74,0,4.85,clear sky
104,Carnarvon,AU,-24.8667,113.6333,75.27,78,90,18.41,overcast clouds
105,Rio Branco,BR,-9.9747,-67.81,84.81,70,40,2.3,scattered clouds
106,Husavik,IS,66.0449,-17.3389,30.11,71,100,10.94,overcast clouds
107,Tolaga Bay,NZ,-38.3667,178.3,61.97,80,70,17.76,broken clouds
108,Eyl,SO,7.9803,49.8164,69.53,72,10,12.93,clear sky
109,Alta Floresta,BR,-9.8756,-56.0861,72.27,96,100,3.83,overcast clouds
110,Eskisehir,TR,39.7767,30.5206,12.52,97,77,6.24,light snow
111,Jiuquan,CN,39.7432,98.5174,17.28,47,100,3.4,overcast clouds
112,Haines Junction,CA,60.7522,-137.5108,19.35,79,100,1.14,overcast clouds
113,Puerto Escondido,MX,15.85,-97.0667,80.15,62,4,2.17,clear sky
114,Hamilton,US,39.1834,-84.5333,21.97,55,0,0.0,clear sky
115,Tomatlan,MX,19.9333,-105.25,80.19,51,98,5.84,overcast clouds
116,Serowe,BW,-22.3833,26.7167,66.36,90,100,15.5,light rain
117,Gunjur,GM,13.2019,-16.7339,75.13,51,83,15.5,broken clouds
118,Bathsheba,BB,13.2167,-59.5167,75.81,78,75,8.05,broken clouds
119,Flinders,AU,-34.5833,150.8552,80.06,61,77,7.0,broken clouds
120,Saskylakh,RU,71.9167,114.0833,-5.24,89,70,6.64,broken clouds
121,Charters Towers,AU,-20.1,146.2667,76.87,82,100,8.1,light rain
122,Brae,GB,60.3964,-1.353,46.31,87,96,28.1,overcast clouds
123,Hambantota,LK,6.1241,81.1185,71.73,85,91,7.54,overcast clouds
124,Gimli,CA,50.6336,-96.9907,23.43,68,100,10.36,overcast clouds
125,Manthani,IN,18.65,79.6667,56.62,51,1,6.67,clear sky
126,Waddan,LY,29.1614,16.139,43.38,62,3,4.0,clear sky
127,Nikolskoye,RU,59.7035,30.7861,25.88,91,100,9.89,light snow
128,Chuy,UY,-33.6971,-53.4616,70.29,92,100,9.98,overcast clouds
129,Lopsmarka,NO,67.3134,14.4493,33.69,91,100,1.99,overcast clouds
130,Muros,ES,42.7762,-9.0603,49.23,77,0,8.93,clear sky
131,Taksimo,RU,56.3444,114.8794,-21.08,95,52,1.63,broken clouds
132,Kodiak,US,57.79,-152.4072,35.11,87,100,12.66,light snow
133,Hithadhoo,MV,-0.6,73.0833,81.52,74,100,22.15,overcast clouds
134,Bandundu,CD,-3.3167,17.3667,71.22,91,100,3.11,overcast clouds
135,Ancud,CL,-41.8697,-73.8203,74.73,76,0,0.98,clear sky
136,Jieshi,CN,22.8134,115.8257,65.95,88,79,12.08,broken clouds
137,Lorengau,PG,-2.0226,147.2712,83.07,79,99,6.78,overcast clouds
138,Vancouver,CA,49.2497,-123.1193,43.11,90,75,1.99,broken clouds
139,Carballo,ES,43.213,-8.691,46.67,88,0,3.06,clear sky
140,Kaitangata,NZ,-46.2817,169.8464,56.93,52,40,14.43,scattered clouds
141,Amapa,BR,1.0,-52.0,71.2,99,100,1.77,overcast clouds
142,Deputatskiy,RU,69.3,139.9,-13.36,94,100,5.26,overcast clouds
143,Sitka,US,57.0531,-135.33,37.29,87,40,8.05,scattered clouds
144,Klaksvik,FO,62.2266,-6.589,36.52,82,100,31.36,overcast clouds
145,Coquimbo,CL,-29.9533,-71.3436,64.13,72,0,12.66,clear sky
146,Fort Myers Beach,US,26.452,-81.9481,73.42,86,100,4.0,overcast clouds
147,Isangel,VU,-19.55,169.2667,86.11,84,75,4.61,moderate rain
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.28,82,7,22.12,clear sky
